	SRR1204622	SRR1204623	SRR1204624	SRR1204625	SRR1204626	SRR1204627	SRR1204628	SRR1204629	SRR1204630	SRR1204631	SRR1204632	SRR1204633	SRR1204634	SRR1204635	SRR1204636	SRR1204637	SRR1204638	SRR1204639	SRR1204640	SRR1204641	SRR1204642	SRR1204643	SRR1204644	SRR1204645	SRR1204646	SRR1204647	SRR1204648	SRR1204649	SRR1204650	SRR1204651
[Clostridium] saccharolyticum	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
[Enterobacter] lignolyticus	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	76
[Haemophilus] ducreyi	0	0	24	0	0	0	0	0	0	1354	0	3479	0	0	0	0	0	4547	0	0	0	0	0	7380	0	0	0	0	0	0
[Ruminococcus] torques	0	0	5	17	5	0	252	9	56	0	0	12	44	0	48	0	0	1	0	68	0	1	0	6	0	15	0	2	0	27
Acetomicrobium mobile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Acidaminococcus fermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus intestini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Acidiphilium cryptum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	20	0	1	0	0	0	0	0
Acidiphilium multivorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	1	0	0	0	0	0
Acidipropionibacterium acidipropionici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Acidovorax citrulli	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax ebreus	0	0	0	0	46	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	3	0	0	0
Acinetobacter baumannii	0	119	0	0	0	0	2	48	0	0	0	0	0	0	0	0	0	0	1	0	0	0	31	0	75	0	0	0	5	0
Acinetobacter oleivorans	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	235	0	0	0	0	0	4	7	0	0
